From Date,To Date,PM2.5,PM10,NO,NO2,NOx,Ozone
04-01-2020 01:15,04-01-2020 01:30,21.9,36.1,18.3,33,51.3,3.83
04-01-2020 01:30,04-01-2020 01:45,21.8,36.2,18.8,33.4,52.2,3.62
04-01-2020 01:45,04-01-2020 02:00,20.4,37.5,19.2,33.9,53.1,3.7
04-01-2020 02:00,04-01-2020 02:15,20.4,37.5,20,33.7,53.8,3.71
04-01-2020 02:15,04-01-2020 02:30,20.4,37.5,21.8,31.9,53.7,3.87
04-01-2020 02:30,04-01-2020 02:45,20.9,38,22.5,32,54.5,4.08
04-01-2020 02:45,04-01-2020 03:00,24.9,42.3,23.4,30,53.4,4.21
04-01-2020 03:00,04-01-2020 03:15,24.9,42.3,24.4,29.5,53.8,4.35
04-01-2020 03:15,04-01-2020 03:30,24.9,42.3,25.8,28.7,54.5,3.83
04-01-2020 03:30,04-01-2020 03:45,25.7,42.6,27.3,27.9,55.2,3.9
04-01-2020 03:45,04-01-2020 04:00,32.6,45,28.8,28,56.8,3.8
04-01-2020 04:00,04-01-2020 04:15,32.6,45,30.8,27.2,58,3.81
04-01-2020 04:15,04-01-2020 04:30,32.6,45,33.1,26.7,59.8,4.02
04-01-2020 04:30,04-01-2020 04:45,32.8,46.1,35.6,26.6,62.1,3.82
04-01-2020 04:45,04-01-2020 05:00,34.5,55.9,37.1,26.7,63.8,3.63
04-01-2020 05:00,04-01-2020 05:15,34.5,55.9,37,27.5,64.6,3.59
